DATE,VEHICLE NO,CENTER NAME,INV NO,PARTY NAME,ITEM,BOX,NET,ICE/WATER,PAY WEIGHT,RATE,AMOUNT
2025-05-09,MH01EE9329,KASARA,2651.0,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,25.0,1191.0,150,1041.0,2.0,2082.0
2025-05-09,MH01EE9329,KASARA,2651.0,NAGESHWAR FISHERIES,MIX FISH,10.0,477.0,60,417.0,15.0,6255.0
2025-05-09,MH43CM6444,KASARA,2652.0,NAGESHWAR FISHERIES,MIX FISH,0.0,6630.0,265,6365.0,15.0,95475.0
2025-05-09,MH43CA6444,KASARA,2653.0,MG SEA FOODS,MIX FISH,185.0,10660.0,490,10170.0,15.0,152550.0
2025-05-09,MH01EE9329,KASARA,2654.0,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,18.0,863.0,70,793.0,2.0,1586.0
2025-05-09,MH01EE9329,KASARA,2654.0,NAGESHWAR FISHERIES,MIX FISH,79.0,4517.0,306,4211.0,15.0,63165.0
2025-06-09,MH05DK6520,UTTAN,2655.0,JANVI SEA FOODS,MIX FISH,42.0,2250.0,147,2103.0,15.0,31545.0
2025-06-09,MH04FU2482,TALOJA,2656.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,135.0,4418.0,368,4050.0,2.0,8100.0
2025-06-09,MH04FU2482,TALOJA,2656.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,1992.0,300,1692.0,2.0,3384.0
2025-06-09,MH01EE9329,KASARA,2657.0,NAGESHWAR FISHERIES,MIX FISH,59.0,2880.0,227,2653.0,15.0,39795.0
2025-06-09,MH01EE9329,KASARA,2657.0,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,32.0,1562.0,123,1439.0,2.0,2878.0
2025-06-09,MH01EE9329,KASARA,2657.0,NAGESHWAR FISHERIES,MUNDI,11.0,536.0,42,494.0,8.0,3952.0
2025-11-09,MH46CL9310,TALOJA,2658.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,3220.0,322,2898.0,2.0,5796.0
2025-11-09,MH43CM6444,KASARA,2659.0,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,117.0,5859.0,397,5462.0,2.0,10924.0
2025-11-09,MH43CM6444,KASARA,2659.0,NAGESHWAR FISHERIES,MIX FISH,50.0,2781.0,170,2611.0,15.0,39165.0
2025-11-09,MH43CL9310,TALOJA,2660.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,500.0,50,450.0,2.0,900.0
2025-11-09,MH04FU2482,TALOJA,2661.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,9700.0,970,8730.0,2.0,17460.0
2025-11-09,MH43CL9310,TALOJA,2663.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,50.0,1820.0,60,1760.0,2.0,3520.0
2025-11-09,MH43CA6444,KASARA,2664.0,NAGESHWAR FISHERIES,MUNDI,3.0,139.0,7,132.0,8.0,1056.0
2025-11-09,MH43CA6444,KASARA,2664.0,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,10.0,465.0,25,440.0,2.0,880.0
2025-11-09,MH43CA6444,KASARA,2664.0,NAGESHWAR FISHERIES,MIX FISH,63.0,3106.0,158,2948.0,15.0,44220.0
2025-11-09,MH46BF8046,KASARA,2665.0,DK KULAT,MIX FISH,187.0,10720.0,490,10230.0,15.0,153450.0
2025-11-09,MH46CL9768,KASARA,2666.0,MG SEA FOODS,MIX FISH,175.0,9800.0,370,9430.0,15.0,141450.0
2025-11-09,MH17BD0661,VASAI,2667.0,DATTA GHULE,PRAWN HEAD AND SHEL,126.0,2990.0,428,2562.0,2.0,5124.0
2025-11-09,MH43CL9310,TALOJA,2668.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,3320.0,332,2988.0,2.0,5976.0
2025-12-09,MH04FU2482,TALOJA,2669.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,8590.0,859,7731.0,2.0,15462.0
2025-12-09,MH43CL9310,TALOJA,2670.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,56.0,1290.0,109,1181.0,2.0,2362.0
2025-12-09,MH43CA6444,KASARA,2671.0,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,14.0,626.0,50,576.0,2.0,1152.0
2025-12-09,MH43CA6444,KASARA,2671.0,NAGESHWAR FISHERIES,MIX FISH,49.0,2252.0,174,2078.0,15.0,31170.0
2025-12-09,MH43CA6444,KASARA,2671.0,NAGESHWAR FISHERIES,NET MIX FISH,21.0,984.0,75,909.0,17.0,15453.0
2025-12-09,MH43CA6444,KASARA,2671.0,NAGESHWAR FISHERIES,MUNDI,3.0,138.0,11,127.0,8.0,1016.0
2025-12-09,MH46BU1946,KASARA,2672.0,MADAN SEA FOODS,PRAWN HEAD AND SHEL,0.0,1350.0,135,1215.0,2.0,2430.0
2025-12-09,MH47AS9028,KASARA,2673.0,SANTOSH SEA FOODS,MANDELI MIX,45.0,2430.0,277,2153.0,15.0,32295.0
2025-12-09,MH46CL9310,TALOJA,2674.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,3090.0,309,2781.0,2.0,5562.0
2025-12-09,MH01CV8383,ALIBAGS,2675.0,JANVI SEA FOODS,MANDELI MIX,50.0,2260.0,53,2207.0,12.0,26484.0
2025-01-10,MH43BP4644,KASARA,2767.0,DK KULAT,NET MIX FISH,47.0,2493.0,178,2315.0,23.0,53245.0
2025-01-10,MH43BP4644,KASARA,2767.0,DK KULAT,MIX FISH,71.0,3766.0,269,3497.0,21.0,73437.0
2025-01-10,MH43CA6444,KASARA,2768.0,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,5.0,165.0,15,150.0,2.0,300.0
2025-01-10,MH43CA6444,KASARA,2768.0,NAGESHWAR FISHERIES,NET MIX FISH,32.0,1492.0,94,1398.0,23.0,32154.0
2025-01-10,MH43CA6444,KASARA,2768.0,NAGESHWAR FISHERIES,MANDELI MIX,4.0,213.0,11,202.0,21.0,4242.0
2025-01-10,MH17BD0661,VASAI,2769.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,134.0,4080.0,168,3912.0,2.0,7824.0
2025-01-10,MH04FU2482,TALOJA,2770.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,7710.0,771,6939.0,2.0,13878.0
2025-01-10,MH47AS9253,TALOJA,2771.0,RAMAKANT AKHADE,PRAWN HEAD AND SHEL,0.0,2180.0,218,1962.0,2.0,3924.0
2025-01-10,MH16B0576,TALOJA,2772.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,1920.0,192,1728.0,2.0,3456.0
2025-02-10,MH16B0576,TALOJA,2773.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,3835.0,383,3452.0,2.0,6904.0
2025-02-10,MH16B0576,TALOJA,2773.0,VARAD VINAYAK,MUNDI,5.0,245.0,25,220.0,9.0,1980.0
2025-02-10,MH46CL9310,TALOJA,2774.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,3500.0,350,3150.0,2.0,6300.0
2025-02-10,MH43AS9253,TALOJA,2775.0,RAMAKANT AKHADE,PRAWN HEAD AND SHEL,0.0,8750.0,875,7875.0,2.0,15750.0
2025-02-10,MH46CL9310,TALOJA,2776.0,VARAD VINAYAK,BOMBIL MUNDI,39.0,1642.0,80,1562.0,3.0,4686.0
2025-02-10,MH46CL9310,TALOJA,2776.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,31.0,1306.0,64,1242.0,2.0,2484.0
2025-02-10,MH46CL9310,TALOJA,2776.0,VARAD VINAYAK,CHILAPI,1.0,42.0,2,40.0,17.0,680.0
2025-03-10,MH04FU2482,TALOJA,2777.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,4780.0,478,4302.0,2.0,8604.0
2025-03-10,MH43CA6444,TALOJA,2778.0,NAGESHWAR FISHERIES,NET HEKRU,45.0,2337.0,135,2202.0,23.0,50646.0
2025-03-10,MH43CA6444,TALOJA,2778.0,NAGESHWAR FISHERIES,NET DISCO,69.0,3583.0,207,3376.0,23.0,77648.0
2025-03-10,MH46CL9310,TALOJA,2779.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,18.0,639.0,37,602.0,2.0,1204.0
2025-03-10,MH46CL9310,TALOJA,2779.0,VARAD VINAYAK,CHILAPI,27.0,1194.0,55,1139.0,15.0,17085.0
2025-03-10,MH46CL9310,TALOJA,2779.0,VARAD VINAYAK,BOMBIL MUNDI,19.0,857.0,38,819.0,3.0,2457.0
2025-06-10,MH43BP4644,KASARA,2780.0,DK KULAT,NET DISCO,20.0,1055.0,50,1005.0,23.0,23115.0
2025-06-10,MH43BP4644,KASARA,2780.0,DK KULAT,MIX FISH,31.0,1636.0,78,1558.0,21.0,32718.0
2025-06-10,MH43CM6444,KASARA,2781.0,NAGESHWAR FISHERIES,MIX FISH,5.0,245.0,16,229.0,21.0,4809.0
2025-06-10,MH43CM6444,KASARA,2781.0,NAGESHWAR FISHERIES,NET DISCO,30.0,1465.0,96,1369.0,23.0,31487.0
2025-06-10,MH46BB9585,ALIBAG,2782.0,JANVI SEA FOODS,MIX FISH,107.0,5874.0,525,5349.0,18.0,96282.0
2025-06-10,MH46BB9585,ALIBAG,2782.0,JANVI SEA FOODS,NET FISH,93.0,5106.0,457,4649.0,24.0,111576.0
2025-06-10,MH46CL9310,TALOJA,2783.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,30.0,1074.0,72,1002.0,2.0,2004.0
2025-06-10,MH46CL9310,TALOJA,2783.0,VARAD VINAYAK,BANGDA,12.0,487.0,29,458.0,18.0,8244.0
2025-06-10,MH46CL9310,TALOJA,2783.0,VARAD VINAYAK,CHILAPI,11.0,399.0,27,372.0,16.0,5952.0
2025-06-10,MH04FU2482,TALOJA,2784.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,143.0,1898.0,268,1630.0,2.0,3260.0
2025-06-10,MH04FU2482,TALOJA,2784.0,VARAD VINAYAK,CHILAPI MUNDI,17.0,882.0,32,850.0,8.0,6800.0
2025-07-10,MH46BB9585,ALIBAG,2785.0,JANVI SEA FOODS,MIX FISH,83.0,4581.0,330,4251.0,18.0,76518.0
2025-07-10,MH46BB9585,ALIBAG,2785.0,JANVI SEA FOODS,NET DISCO,85.0,4692.0,338,4354.0,25.0,108850.0
2025-07-10,MH46BB9585,ALIBAG,2785.0,JANVI SEA FOODS,NET BANGDI,32.0,1767.0,128,1639.0,25.0,40975.0
2025-07-10,MH43CA6444,KASARA,2786.0,NAGESHWAR FISHERIES,MANDELI MUNDI MIX,7.0,369.0,14,355.0,21.0,7455.0
2025-07-10,MH43CA6444,KASARA,2786.0,NAGESHWAR FISHERIES,MIX FISH,28.0,1471.0,54,1417.0,23.0,32591.0
2025-07-10,MH04FU2882,TALOJA,2787.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,37.0,682.0,130,552.0,2.0,1104.0
2025-07-10,MH04FU2882,TALOJA,2787.0,VARAD VINAYAK,CHILAPI,23.0,1988.0,80,1908.0,16.0,30528.0
2025-07-10,MH46CL9310,TALOJA,2788.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,3690.0,369,3321.0,2.0,6642.0
2025-08-10,MH43CA6444,KASARA,2789.0,NAGESHWAR FISHERIES,NET HEKARU,87.0,4340.0,261,4079.0,24.0,97896.0
2025-08-10,MH46BB9585,ALIBAG,2790.0,JANVI SEA FOODS,NET FISH,200.0,10460.0,726,9734.0,25.0,243350.0
2025-08-10,MH46CL9310,TALOJA,2791.0,VARAD VINAYAK,PRAWN HEAD AND SHEL,0.0,2110.0,211,1899.0,2.0,3798.0
2025-08-10,MH46BB9447,ALIBAG,2792.0,JANVI SEA FOODS,NET FISH,123.0,6329.0,165,6164.0,25.0,154100.0
